cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
2010-11-08-al-invivo-1,744.66,9.450855200303527,0.060498440079361865,0.0007742334994649853,31.363843698084207,0.0017257848281706928,0.012409100812593247,0.0010273077926126455,5e-05,0.10223865531575653,1,0,-0.390625,0
2011-10-25-aa-invivo-1,724.94,17.324840755350014,0.05919135682592931,0.004176595598821974,126.0907181735006,0.0011845579843807095,0.02409988212415924,0.0006959832098553865,5e-05,0.10891426770113852,1,0,-23.046875,0
2011-10-25-ad-invivo-1,760.50,42.322806986231576,0.1128743560865006,0.004980470281786894,275.52394339936325,0.0023119383270376647,0.03633962163005618,0.0009167762282024045,5e-05,0.06416701856873613,1,0,-43.359375,0
2012-04-20-ad-invivo-1,811.57,61.15542998217432,0.18099114092280794,0.006549954587111268,317.4201379309943,0.0014460502988963755,0.03508490455171905,0.001007048276989675,5e-05,0.1718068006049748,1,0,-39.84375,0
2012-04-20-af-invivo-1,800.03,8.666272965511395,0.022425435260594734,0.0020948092014818585,90.3326105895584,0.0011619511953103417,0.023204703121166424,0.0004258027499815768,5e-05,0.09622036120554381,1,0,-20.21484375,0
2012-04-20-ak-invivo-1,826.07,121.42077896009447,0.2988122723355702,0.00767524333119563,351.9448656755738,0.0011845244136958932,0.031036975320845185,0.0012197526571388958,5e-05,0.20312305895770272,1,0,10.9375,0
2012-05-10-ad-invivo-1,891.62,27.619562499220827,0.13450562241783512,0.0012767974341065277,142.840493368597,0.004419105648466856,0.04155259839413157,0.0005977574869045852,5e-05,0.09672050169948881,1,0,-18.359375,0
2012-06-27-ah-invivo-1,752.07,5.2388344597197705,0.03659696633407004,0.003798951996575211,128.3173271059041,0.0016438953019065569,0.01901964793745526,0.0012129185117702725,5e-05,0.07927180291000088,1,0,-35.3515625,0
2012-06-27-an-invivo-1,786.29,4.068827736501855,0.043051119267783704,0.004155150215215599,57.95001821363863,0.0015554768512448113,0.007435401753377013,0.0009668453379819612,5e-05,0.0913176474972983,1,0,-13.671875,0
2012-07-03-ak-invivo-1,928.45,1.8853753804955329,0.012530297778962793,0.0010172326122311307,11.282392495019522,0.0002496247649189816,0.0030484040217783237,2.781559315405718e-05,5e-05,0.021622684288350374,1,0,-1.904296875,0
2012-07-12-ag-invivo-1,744.95,16.239434635393348,0.15135508329949385,0.003750471052895857,50.2874125565955,0.00017308271786916138,0.010699053556105982,0.00033814868585131685,5e-05,0.07342270177674565,1,0,-1.5625,0
2012-07-12-ap-invivo-1,772.92,53.79680098764822,0.3098624628785055,0.006491044613537051,274.76765135007713,0.0011314183472882903,0.027932882396048297,0.0013282603439871542,5e-05,0.09916709994130884,1,0,-32.8125,0
2012-12-13-af-invivo-1,673.56,7.535514342013602,0.04223725103733716,0.0065539636971129415,204.36152614477095,0.0018080213635166297,0.016419609427551305,0.0012332624623859834,5e-05,0.058376273224861386,1,0,-57.03125,0
2012-12-13-ag-invivo-1,667.87,7.061602153402829,0.05466749846773768,0.004148740395894479,102.45822047850346,0.0014122430478610026,0.008398456097700253,0.0001622755200820647,5e-05,0.039352892599177396,1,0,-25.0,0
