,cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
0,2011-10-25-ad-invivo-1,760.5,60.70561732896827,0.1575286757918413,0.0040752958611253,301.3786912934572,0.0029012439225658,0.00044047306957241747,0.0007434544009651,5e-05,0.1160774474234297,1,0,-34.375,0
1,2012-04-20-ak-invivo-1,826.07,142.73039605053253,0.3440867459292109,0.0042905816022802,373.7425313488243,0.0017358116367672,0.0001299460085402858,0.0009347144390364,5e-05,0.2949535420035986,1,0,21.875,0
2,2012-05-10-ad-invivo-1,891.62,54.35949425221348,0.2757269324823284,0.0022126296519269,267.1813908864623,0.0020271803274778,0.0010762626727976324,0.0010968397753966,5e-05,0.1820036615143048,1,0,-31.25,0
3,2012-06-27-ah-invivo-1,752.07,28.875515577269294,0.2052546848454184,0.0106126298694182,554.4436702347741,0.0017107204697516,0.0003684861730503845,0.0012084459280246,5e-05,0.117841868494821,1,0,-148.4375,0
4,2012-06-27-an-invivo-1,786.29,2.7860389486251598,0.0293914484912648,0.0039856346028349,26.682508784285027,0.0013765267071105,6.497312050675181e-06,0.0008998947426172,5e-05,0.1303615925631519,1,0,-4.8828125,0
5,2012-07-03-ak-invivo-1,928.45,1.1337603254658657,0.009636823781567,0.0011835211027475,10.551593612226275,0.0013790127193975,8.556460568825569e-07,0.0001160086835967,5e-05,0.0960461388826031,1,0,-1.318359375,0
6,2012-07-12-ag-invivo-1,744.95,3.695738241953972,0.0362361913251436,0.0018084515871059,14.377436485984251,0.0011056964083457,8.456481114651883e-06,0.0011502269812458,5e-05,0.1115673798324191,1,0,-0.09765625,0
7,2012-07-12-ap-invivo-1,772.92,14.804318060119332,0.0842150819139986,0.0013221092024793,44.13667585034951,0.0014555506316246,0.00013056416037217093,0.0009740315668442,5e-05,0.0714312935754097,1,0,1.171875,0
8,2012-12-13-af-invivo-1,673.56,23.49580814191164,0.1324559007885552,0.0100319507469257,427.7951451118343,0.00390366095004,0.00016478125839112674,0.0009569332571649,5e-05,0.137553360369833,1,0,-111.71875,0
9,2012-12-13-ag-invivo-1,667.87,6.068162568399253,0.0445796676973808,0.0015238677109309,95.4247123304821,0.0088281032115323,0.0017011294956245796,0.0005315865912276,5e-05,0.2705776489276024,1,0,-22.65625,0
10,2012-12-13-ah-invivo-1,664.7,28.779813371047524,0.1604926523355509,0.0131422563231108,365.45335373877225,0.0011890432540278,9.862742281751976e-05,0.0014219606674122,5e-05,0.1350142793970573,1,0,-87.5,0
11,2012-12-13-an-invivo-1,657.91,5.882031759118175,0.0403947375117116,0.0010943455482541,34.97293775924098,0.0084065325207767,7.117154703489144e-05,0.0009063094776245,5e-05,0.1582718987844557,1,0,-3.515625,0
12,2012-12-13-ao-invivo-1,657.82,3.281355058730276,0.021994247695007,0.0013722348516982,16.707319333864564,0.0022121021747954,2.6990008279975237e-05,0.0008575662334429,5e-05,0.0567186777585402,1,0,-1.26953125,0
13,2012-12-20-aa-invivo-1,668.32,5.156967843782446,0.0418928047894062,0.0022289499682628,75.29252126936278,0.0046106912756426,0.00011688194385127197,6.124940707783572e-05,5e-05,0.0693451908879711,1,0,-17.96875,0
